run,algorithm,classifier,uid,Acc.,Bal. Acc.,Kappa,duplicated
0,FastICA,lda,7,0.5902777777777778,0.5902777777777778,0.18055555555555558,0
1,FastICA,lda,7,0.6805555555555556,0.6805555555555556,0.36111111111111116,0
2,FastICA,lda,7,0.5972222222222222,0.5972222222222222,0.19444444444444442,0
0,picard_o,lda,7,0.7361111111111112,0.7361111111111112,0.4722222222222222,0
1,picard_o,lda,7,0.7361111111111112,0.7361111111111112,0.4722222222222222,0
2,picard_o,lda,7,0.6527777777777778,0.6527777777777778,0.3055555555555556,0
1,None,lda,7,0.6041666666666666,0.6041666666666667,0.20833333333333337,1
2,None,lda,7,0.6041666666666666,0.6041666666666667,0.20833333333333337,1
1,ORICA (0),lda,7,0.5555555555555556,0.5555555555555556,0.11111111111111116,1
2,ORICA (0),lda,7,0.5555555555555556,0.5555555555555556,0.11111111111111116,1
1,ORICA (1),lda,7,0.5347222222222222,0.5347222222222222,0.06944444444444442,1
2,ORICA (1),lda,7,0.5347222222222222,0.5347222222222222,0.06944444444444442,1
1,SOBI,lda,7,0.5763888888888888,0.5763888888888888,0.1527777777777778,1
2,SOBI,lda,7,0.5763888888888888,0.5763888888888888,0.1527777777777778,1
0,None,lda,8,0.7361111111111112,0.7361111111111112,0.4722222222222222,0
0,ORICA (0),lda,8,0.7569444444444444,0.7569444444444444,0.5138888888888888,0
0,ORICA (1),lda,8,0.5347222222222222,0.5347222222222222,0.06944444444444442,0
0,Ext. Infomax,lda,8,0.8541666666666666,0.8541666666666667,0.7083333333333333,0
1,Ext. Infomax,lda,8,0.8541666666666666,0.8541666666666667,0.7083333333333333,0
2,Ext. Infomax,lda,8,0.8958333333333334,0.8958333333333333,0.7916666666666666,0
0,SOBI,lda,8,0.75,0.75,0.5,0
0,FastICA,lda,8,0.9097222222222222,0.9097222222222222,0.8194444444444444,0
1,FastICA,lda,8,0.9166666666666666,0.9166666666666667,0.8333333333333334,0
2,FastICA,lda,8,0.8541666666666666,0.8541666666666666,0.7083333333333333,0
0,picard_o,lda,8,0.9166666666666666,0.9166666666666667,0.8333333333333334,0
1,picard_o,lda,8,0.9166666666666666,0.9166666666666667,0.8333333333333334,0
2,picard_o,lda,8,0.9166666666666666,0.9166666666666667,0.8333333333333334,0
1,None,lda,8,0.7361111111111112,0.7361111111111112,0.4722222222222222,1
2,None,lda,8,0.7361111111111112,0.7361111111111112,0.4722222222222222,1
1,ORICA (0),lda,8,0.7569444444444444,0.7569444444444444,0.5138888888888888,1
2,ORICA (0),lda,8,0.7569444444444444,0.7569444444444444,0.5138888888888888,1
1,ORICA (1),lda,8,0.5347222222222222,0.5347222222222222,0.06944444444444442,1
2,ORICA (1),lda,8,0.5347222222222222,0.5347222222222222,0.06944444444444442,1
1,SOBI,lda,8,0.75,0.75,0.5,1
2,SOBI,lda,8,0.75,0.75,0.5,1
0,None,lda,9,0.7152777777777778,0.7152777777777778,0.4305555555555556,0
0,ORICA (0),lda,9,0.4375,0.4375,-0.125,0
0,ORICA (1),lda,9,0.5555555555555556,0.5555555555555556,0.11111111111111116,0
0,Ext. Infomax,lda,9,0.7569444444444444,0.7569444444444444,0.5138888888888888,0
1,Ext. Infomax,lda,9,0.875,0.875,0.75,0
